"Energy,MeV","MAC,cm2/g","EMAC,cm2/g"
0.00100,10570.00000,10490.00000
0.00105,9307.00000,9241.00000
0.00150,4418.00000,4393.00000
0.00200,2154.00000,2142.00000
0.00300,748.80000,743.00000
0.00400,347.30000,343.20000
0.00500,189.90000,186.60000
0.00600,115.60000,112.80000
0.00800,52.55000,50.54000
0.01000,215.90000,148.40000
0.01500,74.05000,57.88000
0.02000,33.79000,27.88000
0.03000,10.92000,9.34900
0.04000,4.86200,4.16300
0.05000,2.61300,2.19200
0.06000,1.59300,1.29000
0.08000,0.76300,0.55810
0.10000,0.45840,0.29490
0.15000,0.22170,0.10270
0.20000,0.15590,0.05781
0.30000,0.11190,0.03617
0.40000,0.09413,0.03121
0.50000,0.08362,0.02933
0.60000,0.07625,0.02826
0.80000,0.06605,0.02681
1.00000,0.05901,0.02562
1.25000,0.05261,0.02428
1.50000,0.04803,0.02316
2.00000,0.04205,0.02160
3.00000,0.03599,0.02023
4.00000,0.03318,0.01989
5.00000,0.03177,0.01998
6.00000,0.03108,0.02027
8.00000,0.03074,0.02100
10.00000,0.03103,0.02174
15.00000,0.03247,0.02309
20.00000,0.03408,0.02387
