"Energy,MeV","MAC,cm2/g","EMAC,cm2/g"
0.00100,4078.00000,4065.00000
0.00150,1376.00000,1372.00000
0.00200,617.30000,615.20000
0.00300,192.90000,191.70000
0.00400,82.78000,81.91000
0.00500,42.58000,41.88000
0.00600,24.64000,24.05000
0.00800,10.37000,9.91500
0.01000,5.32900,4.94400
0.01500,1.67300,1.37400
0.02000,0.80960,0.55030
0.03000,0.37560,0.15570
0.04000,0.26830,0.06947
0.05000,0.22690,0.04223
0.06000,0.20590,0.03190
0.08000,0.18370,0.02597
0.10000,0.17070,0.02546
0.15000,0.15050,0.02764
0.20000,0.13700,0.02967
0.30000,0.11860,0.03192
0.40000,0.10610,0.03279
0.50000,0.09687,0.03299
0.60000,0.08956,0.03284
0.80000,0.07865,0.03206
1.00000,0.07072,0.03103
1.25000,0.06323,0.02965
1.50000,0.05754,0.02833
2.00000,0.04942,0.02608
3.00000,0.03969,0.02281
4.00000,0.03403,0.02066
5.00000,0.03031,0.01915
6.00000,0.02770,0.01806
8.00000,0.02429,0.01658
10.00000,0.02219,0.01566
15.00000,0.01941,0.01441
20.00000,0.01813,0.01382
