min,max,mean,counts
0,1,0.5,6
1,2,1.5,1398
2,3,2.5,4655
3,4,3.5,6641
4,5,4.5,8249
5,6,5.5,8219
6,7,6.5,7461
7,8,7.5,6905
8,9,8.5,6336
9,10,9.5,11796
10,11,10.5,25175
11,12,11.5,25350
12,13,12.5,56625
13,14,13.5,65016
14,15,14.5,102439
15,16,15.5,144415
16,17,16.5,190332
17,18,17.5,241314
18,19,18.5,290417
19,20,19.5,338327
20,21,20.5,384637
21,22,21.5,426238
22,23,22.5,463674
23,24,23.5,497221
24,25,24.5,525652
25,26,25.5,550461
26,27,26.5,571748
27,28,27.5,586639
28,29,28.5,600941
29,30,29.5,608871
30,31,30.5,615664
31,32,31.5,621526
32,33,32.5,622609
33,34,33.5,620997
34,35,34.5,619503
35,36,35.5,614464
36,37,36.5,611515
37,38,37.5,604013
38,39,38.5,598840
39,40,39.5,591664
40,41,40.5,584721
41,42,41.5,575351
42,43,42.5,566245
43,44,43.5,556909
44,45,44.5,547248
45,46,45.5,536675
46,47,46.5,527935
47,48,47.5,517879
48,49,48.5,507658
49,50,49.5,498008
50,51,50.5,487344
51,52,51.5,476689
52,53,52.5,467624
53,54,53.5,458579
54,55,54.5,448245
55,56,55.5,438944
56,57,56.5,430335
57,58,57.5,422663
58,59,58.5,1069028
59,60,59.5,1573651
60,61,60.5,390180
61,62,61.5,381004
62,63,62.5,372186
63,64,63.5,364572
64,65,64.5,356529
65,66,65.5,347046
66,67,66.5,340741
67,68,67.5,763514
68,69,68.5,323604
69,70,69.5,408229
70,71,70.5,242071
71,72,71.5,235240
72,73,72.5,232396
73,74,73.5,244515
74,75,74.5,224655
75,76,75.5,247819
76,77,76.5,216587
77,78,77.5,212199
78,79,78.5,208345
79,80,79.5,204402
80,81,80.5,200361
81,82,81.5,196653
82,83,82.5,193014
83,84,83.5,188884
84,85,84.5,188168
85,86,85.5,187584
86,87,86.5,177282
87,88,87.5,176693
88,89,88.5,168595
89,90,89.5,163635
90,91,90.5,159622
91,92,91.5,156587
92,93,92.5,152563
93,94,93.5,149681
94,95,94.5,146930
95,96,95.5,142879
96,97,96.5,139842
97,98,97.5,136838
98,99,98.5,132724
99,100,99.5,129633
100,101,100.5,127023
101,102,101.5,123073
102,103,102.5,120234
103,104,103.5,117612
104,105,104.5,114102
105,106,105.5,110977
106,107,106.5,108293
107,108,107.5,105414
108,109,108.5,102997
109,110,109.5,99893
110,111,110.5,97354
111,112,111.5,94051
112,113,112.5,91680
113,114,113.5,88806
114,115,114.5,85577
115,116,115.5,83507
116,117,116.5,80999
117,118,117.5,78130
118,119,118.5,75605
119,120,119.5,73350
120,121,120.5,70661
121,122,121.5,67894
122,123,122.5,65406
123,124,123.5,63362
124,125,124.5,60673
125,126,125.5,57833
126,127,126.5,55901
127,128,127.5,53266
128,129,128.5,51162
129,130,129.5,48867
130,131,130.5,45872
131,132,131.5,43705
132,133,132.5,41798
133,134,133.5,39408
134,135,134.5,36890
135,136,135.5,34692
136,137,136.5,32444
137,138,137.5,29840
138,139,138.5,27389
139,140,139.5,25329
140,141,140.5,22855
141,142,141.5,20429
142,143,142.5,18230
143,144,143.5,15825
144,145,144.5,13484
145,146,145.5,11146
146,147,146.5,8796
147,148,147.5,6440
148,149,148.5,4159
149,150,149.5,1794
